371.739;136.677;235.075;0;0
308.883;111.794;197.203;0;0
267.702;95.619;172.183;0;0
241.666;86.149;155.671;0;1
215.066;76.026;139.161;0;1
200.602;71.188;129.47;0;1
181.391;63.573;117.854;0;2
174.023;60.953;113.113;0;2
159.605;55.963;103.765;0;2
153.707;53.623;100.147;0;3
142.472;50.367;92.168;0;3
138.209;48.361;89.934;0;3
102.179;35.491;66.696;1;0
98.511;34.285;64.256;1;0
198.639;68.991;129.72;1;1
93.739;32.217;61.574;1;1
90.114;31.224;58.951;1;1
86.639;29.703;56.962;1;2
84.266;28.897;55.405;1;2
81.205;28.146;53.085;1;2
96.572;32.905;63.694;1;3
92.135;31.669;60.558;1;3
87.363;30.521;56.875;1;3
